"%s Item(s)","%s article(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Boutique de démo Magento. Tous droits réservés."
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Cliquez sur n'importe quelle partie de l'heure pour l'augmenter"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenez le bouton de la souris sur n'importe quel bouton ci-dessus pour une sélection rapide"
"- Use the %s buttons to select month","- Utilisez les boutons %s pour sélectionner le mois"
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour sélectionner l'année"
"- or Shift-click to decrease it","- ou cliquez en maintenant la touche shift enfoncée pour l'augmenter"
"- or click and drag for faster selection.","- ou cliquez et glissez pour une sélection plus rapide"
"-- Please Select --","-- Faites un choix --"
"1 column","1 colonne"
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"About the calendar","À propos du calendrier"
"All Empty Layout Pages","Toutes les pages du gabarit vide"
"All One-Column Layout Pages","Toutes les pages du gabarit sur 1 colonne"
"All Pages","Toutes les pages"
"All Pages (Print Version)","Toutes les pages (version imprimable)"
"All Three-Column Layout Pages","Toutes les pages du gabarit sur 3 colonnes"
"All Two-Column Layout Pages (Left Column)","Toutes les pages du gabarit sur 2 colonnes (colonne de gauche)"
"All Two-Column Layout Pages (Right Column)","Toutes les pages du gabarit sur 2 colonnes (colonne de droite)"
"Breadcrumbs","Fil d'Ariane"
"Click <a href=""%s"">here</a> if nothing has happened","Cliquez <a href=""%s"">ici</a> si rien ne se passe"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"DHTML Date/Time Selector","Sélecteur de date/heure DHTML"
"Date selection:","Sélection de date :"
"Default Description","Description par défaut"
"Default welcome msg!","Message d'accueil par défaut"
"Display %s first","Afficher d'abord %s"
"Distributed under GNU LGPL. See %s for details.","Distribué sous licence GNU LGPL. Voir %s pour plus de détails."
"Drag to move","Glisser pour déplacer"
"Empty","Vide"
"For latest version visit: %s","Pour la visite de la dernière version : %s"
"Free Shipping on orders over 50$","Livraison gratuite sur les commandes de plus de 50€"
"Go Today","Aller à aujourd'hui"
"Help Us to Keep Magento Healthy","Aidez-nous à améliorer Magento"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"JavaScript seem to be disabled in your browser.","Apparemment, javascript est désactivé sur votre navigateur."
"Left Column","Colonne de gauche"
"Main Content Area","Zone de contenu principal"
"Navigation Bar","Barre de navigation"
"Next","Suivant"
"Next month (hold for menu)","Mois suivant (maintenez pour le menu)"
"Next year (hold for menu)","Année prochaine (maintenez pour le menu)"
"Page Bottom","Bas de page"
"Page Footer","Pied de page"
"Page Header","En-tête de page"
"Page Top","Haut de page"
"Page:","Page :"
"Prev. month (hold for menu)","Mois précédent (maintenez pour le menu)"
"Prev. year (hold for menu)","Année précédente (maintenez pour le menu)"
"Previous","Précédent"
"Redirecting...","En cours de redirection..."
"Report All Bugs","Signaler un dysfonctionnement"
